nama_produk,harga,harga_angka,harga_asli,diskon_persen,rating,terjual,nama_toko,kota,tier_toko,badge,kategori,gratis_ongkir,cashback,is_iklan,url,image_url
"COLORFUL EVOL X15 XS Grey - Intel Core i5 12450H RTX 3050 RAM 16GB 512GB NVMe 15.6"" - Gaming Laptop Notebook",Rp13.281.000,13281000,,0,5.0,,YOUNGS COMPUTER,Kab. Sleman,2,Kab. Sleman,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/youngscom/colorful-evol-x15-xs-grey-intel-core-i5-12500h-rtx-3050-ram-16gb-512gb-nvme-15-6-gaming-laptop-notebook-1733659638333605721?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/c5dee49fe9d74acd9b6175729a1b674f~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=54dAqVpo0pSu2StUnLADAhAM60I%3D&x-signature-webp=mpg9J5sAQkz9wW7TNc%2ByHugMiao%3D
Laptop Gaming Colorful Evol X15 XS - Intel Core i5-12450H | 16GB | GeForce RTX 3050 | SSD NVMe 512GB,Rp14.899.000,14899000,,0,,,Jaya PC,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/jayapc/laptop-gaming-colorful-evol-x15-xs-intel-core-i5-12450h-16gb-geforce-rtx-3050-ssd-nvme-512gb-1733659724796036632?extParam=ivf%3Dtrue%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4f0d41170d284148b8decab614e07ad2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=o1Y%2B2z7I9gGvVB5j980fkTDY7hY%3D&x-signature-webp=V3GrV9Ggnw5C1Om2k6nUzhlr2sE%3D
COLORFUL EVOL P15 23-HE55D-B - GeForce RTX 4050 Intel Core i5-12450H 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,Galaxy Solusindo,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/galaxy-solusindo/colorful-evol-p15-23-he55d-b-geforce-rtx-4050-intel-core-i5-12450h-512gb-ssd-16gb-ram-notebook-laptop-gaming-1735534969039717793?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/13ec780cab944f6db9c627c8f3d3ca65~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=EXdorGVifDssjEmtELkb49%2BmxFM%3D&x-signature-webp=AxDRxXD8dB7yqQf7fSAkh8ymy8A%3D
COLORFUL EVOL P15 23-HE55D-B - GeForce RTX 4050 Intel Core i5-12450H 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,GASOL MALANG,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol/colorful-evol-p15-23-he55d-b-geforce-rtx-4050-intel-core-i5-12450h-512gb-ssd-16gb-ram-notebook-laptop-gaming-1735535082552591566?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6d0ca1d12fb545b0b3c322904f282f8f~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=2gBEs%2BhZ%2FUd%2F5nIi4JfxzgOgZIo%3D&x-signature-webp=0xEHN4CMwBmBUQeS0hkE8IBTSL4%3D
"COLORFUL EVOL X15 XS i5-12450H RAM 16GB DDR4-3200 SSD 512GB RTX 3050 4GB GDDR6 15.6"" FHD 144Hz Laptop",Rp13.699.000,13699000,,0,,,STAR SEVENTEEN COM,Jakarta Selatan,2,Jakarta Selatan,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/star-seventeen-com/colorful-evol-x15-xs-i5-12500h-ram-16gb-ddr4-3200-ssd-512gb-rtx-3050-4gb-gddr6-15-6-fhd-144hz-laptop-1730864502582052741?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/a63af4b55436426bb9aec23c7fbeb13e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=mjGt8xebrHaf4mpGhfxCaruovuI%3D&x-signature-webp=M6jaMH7GyUGFf%2B7pkdlBWHbiOGI%3D
COLORFUL EVOL X15 XS 22-HD5501-G - GeForce RTX 3050 Core i5-12500H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming,Rp13.299.000,13299000,,0,,,GASOL KALIURANG,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol-kaliurang/colorful-evol-x15-xs-22-hd5501-g-geforce-rtx-3050-core-i5-12500h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1733466384254534781?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/872e0d09939b4be5908af261e8e19e00~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=3RNjIHEMkzeKYOtV4PfWMNqTIII%3D&x-signature-webp=1Wz5OSDp1n%2Frgi5drAq2CGN%2BwFU%3D
COLORFUL EVOL P15 23-HE55D-G - Grey - GeForce RTX 4050 Core i5-12450H 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,GASOL SUMBERSARI,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasolsumbersari/colorful-evol-p15-23-he55d-g-grey-geforce-rtx-4050-core-i5-12450h-512gb-ssd-16gb-ram-notebook-laptop-gaming-1733488894702028687?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/32b60e2ba6aa40ddb659c5ac1168e1e4~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=ZhjIEjp0GzA2upNNhqW2TAmte8A%3D&x-signature-webp=R6O9gezyvYBtD3Qds8fStfqrIxM%3D
COLORFUL EVOL P15 23-HE55D-G - Grey - GeForce RTX 4050 Core i5-12450H 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,Gasol WTC Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol-laptop/colorful-evol-p15-23-he55d-g-grey-geforce-rtx-4050-core-i5-12450h-512gb-ssd-16gb-ram-notebook-laptop-gaming-1733489074942870575?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/0778ab17bc7e4f0e92635df7d1b37ebb~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=NGJ2eKrU0r7H56alOmYVOu2mfHA%3D&x-signature-webp=s8OrjGKI2ZKmkMSRkeDaL69TJnE%3D
Colorful Laptop EVOL X15 XS i5-12500H-12 Cores (4P+8E) RTX3050 16/512 Garansi Resmi,Rp14.890.000,14890000,,0,,,Multifungsi Online,Jakarta Pusat,2,Jakarta Pusat,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/multifungsiharco/colorful-laptop-evol-x15-xs-i5-12500h-12-cores-4p-8e-rtx3050-16-512-garansi-resmi-1731422008116937763?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/59fb5ed23fb74a829d7e3a1d14aaa378~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=%2FRP6MjX8MW4jJ%2BMigbCsf9XJ6kM%3D&x-signature-webp=qHhQF68Kn3jU63X4iZWttibjp0g%3D
COLORFUL EVOL P15 23-HE55D-W - GeForce RTX 4050 Core i5-12450H 512GB SSD 16GB RAM White Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,GASOL MALANG,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol/colorful-evol-p15-23-he55d-w-geforce-rtx-4050-core-i5-12450h-512gb-ssd-16gb-ram-white-notebook-laptop-gaming-1734313383946126542?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f669fe1ce87b49848622610f737347ac~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=%2BuAPspWud48HXWA1NPTVcm4r6aY%3D&x-signature-webp=54pCJoYr5SbvCEdn7Q5IS7hOr4Q%3D
COLORFUL EVOL P15 23-HE55D-B - GeForce RTX 4050 Intel Core i5-12450H 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,Gasol WTC Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol-laptop/colorful-evol-p15-23-he55d-b-geforce-rtx-4050-intel-core-i5-12450h-512gb-ssd-16gb-ram-notebook-laptop-gaming-1735534968700109871?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e8e19968a92646639ae6a096454a3332~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=SEySy1PdT%2BhgFpFSLhNqnGGcF%2BE%3D&x-signature-webp=z4hZu%2B%2F1cXWA2axKW1d%2FzlNTBnM%3D
COLORFUL EVOL P15 23-HE55D-G - Grey - GeForce RTX 4050 Core i5-12450H 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,GASOL KALIURANG,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol-kaliurang/colorful-evol-p15-23-he55d-g-grey-geforce-rtx-4050-core-i5-12450h-512gb-ssd-16gb-ram-notebook-laptop-gaming-1733488894619845757?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/16b72468a2c54843ade973e4e2d0efec~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=bu3jWfEPueeTSeEbQrvfUGinKY4%3D&x-signature-webp=4k5YD87gweIL%2FkJzR0dgpLyfI5w%3D
COLORFUL EVOL P15 23-HE55D-G - Grey - GeForce RTX 4050 Core i5-12450H 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,GASOL DINOYO MALANG,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasoldinoyo/colorful-evol-p15-23-he55d-g-grey-geforce-rtx-4050-core-i5-12450h-512gb-ssd-16gb-ram-notebook-laptop-gaming-1733488894412948648?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/bec6bad550b847ffb837b1c91231236e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=Ks8tTbEzISPWqQ2MqDAe3sL75gg%3D&x-signature-webp=FcUz9Zo97BegIZl0QYgykQWQSzQ%3D
COLORFUL EVOL X15 XS 22-HD5501-G - GeForce RTX 3050 Core i5-12500H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming,Rp13.299.000,13299000,,0,,,Gasol WTC Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol-laptop/colorful-evol-x15-xs-22-hd5501-g-geforce-rtx-3050-core-i5-12500h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1733466473714189359?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f5d5d9d41cfd484f832380f4359f85d0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=J5l2AoKOGBjpIjgrcF8eZmp%2FQXg%3D&x-signature-webp=PsgxKGFyi8C91ZmtzRbVAkkstC4%3D
COLORFUL EVOL P15 23-HE55D-G - Grey - GeForce RTX 4050 Core i5-12450H 512GB SSD 16GB RAM Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,Galaxy Solusindo,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/galaxy-solusindo/colorful-evol-p15-23-he55d-g-grey-geforce-rtx-4050-core-i5-12450h-512gb-ssd-16gb-ram-notebook-laptop-gaming-1733488894412424609?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/336c3ef523114503ad3386597cd2ac5e~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=S%2FeirMtVKiqpTtoz4%2Bi7ixvi1pg%3D&x-signature-webp=J8Q8HXLu%2BvXaViU4sFx3HNt3A5M%3D
COLORFUL EVOL X15 XS 22-HD5501-G - GeForce RTX 3050 Core i5-12500H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming,Rp13.299.000,13299000,,0,,,GASOL DINOYO MALANG,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasoldinoyo/colorful-evol-x15-xs-22-hd5501-g-geforce-rtx-3050-core-i5-12500h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1733466521130075304?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/a100565339e74172957d4faa3db320c2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=7C2qwHnhhHKtml6EwdaR5CViP0w%3D&x-signature-webp=PTvzBnt63xW9TQP9NFBOxBHZ8ek%3D
COLORFUL EVOL P15 23-HE55D-W - GeForce RTX 4050 Core i5-12450H 512GB SSD 16GB RAM White Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,Gasol WTC Surabaya,Surabaya,2,Surabaya,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasol-laptop/colorful-evol-p15-23-he55d-w-geforce-rtx-4050-core-i5-12450h-512gb-ssd-16gb-ram-white-notebook-laptop-gaming-1734313384083358767?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/a8324735b1414ca99bba525794140d85~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=oxsefB5OkAVReobMjiLY%2BpRLGDg%3D&x-signature-webp=ARSQy8gbnetejfVEhitCC8pbo6U%3D
COLORFUL EVOL X15 XS 22-HD5501-G - GeForce RTX 3050 Core i5-12500H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming,Rp13.299.000,13299000,,0,,,Galaxy Solusindo,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/galaxy-solusindo/colorful-evol-x15-xs-22-hd5501-g-geforce-rtx-3050-core-i5-12500h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1733466473714976161?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/7ee5dd2194174948881b7e1af0e555ee~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=L0dt8vtBWDiR5ocQf2XYcFyEA2E%3D&x-signature-webp=cTNe%2BmU%2Fap%2B9MVy0wqSlmPG5PAw%3D
COLORFUL EVOL P15 23-HE55D-W - GeForce RTX 4050 Core i5-12450H 512GB SSD 16GB RAM White Notebook Laptop Gaming,Rp14.999.000,14999000,,0,,,GASOL SUMBERSARI,Malang,2,Malang,Komputer & Laptop,Tidak,,Tidak,https://www.tokopedia.com/gasolsumbersari/colorful-evol-p15-23-he55d-w-geforce-rtx-4050-core-i5-12450h-512gb-ssd-16gb-ram-white-notebook-laptop-gaming-1734313458945591183?extParam=ivf%3Dfalse%26keyword%3Dlaptop+colorful%26search_id%3D202606170422003DD48AB31D016F0DBZ0P%26src%3Dsearch,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/fd2619db74e54bbc9a2080abe52d9c00~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1781673720&x-signature=B%2BXcRCbrYuKoyTYHyW3DxsA1V00%3D&x-signature-webp=pjOOAmlPxsfUjfz5cL3tSMxhr%2Fk%3D
